Date,Open,High,Low,Close,Adj Close,Volume
2020-08-17,11926.0,12500.0,11620.5,12308.5,12308.5,2605664248
2020-08-18,12308.5,12404.5,11810.5,11956.5,11956.5,2219401770
2020-08-19,11956.5,12019.5,11540.0,11761.0,11761.0,2074507698
2020-08-20,11761.0,11897.0,11676.0,11869.0,11869.0,929068278
2020-08-21,11869.0,11884.5,11483.0,11529.5,11529.5,1729186824
2020-08-22,11529.5,11686.0,11373.0,11675.5,11675.5,1031435065
2020-08-23,11675.5,11711.0,11530.5,11657.0,11657.0,848794552
2020-08-24,11657.0,11835.0,11605.0,11757.5,11757.5,1027357727
2020-08-25,11757.5,11771.5,11101.5,11319.0,11319.0,2290436953
2020-08-26,11319.0,11550.0,11251.0,11466.0,11466.0,1410010209
2020-08-27,11466.0,11599.0,11116.5,11331.5,11331.5,2232804815
2020-08-28,11331.5,11548.5,11284.5,11528.5,11528.5,1105951574
2020-08-29,11528.5,11590.5,11414.5,11483.0,11483.0,830101571
2020-08-30,11483.0,11724.0,11470.0,11719.0,11719.0,989754767
2020-08-31,11719.0,11794.0,11571.5,11658.0,11658.0,1301120346
2020-09-01,11658.0,12071.0,11540.5,11937.0,11937.0,1987744352
2020-09-02,11937.0,11957.5,11165.0,11398.5,11398.5,2547385654
2020-09-03,11398.5,11473.0,9922.0,10144.0,10144.0,3582711111
2020-09-04,10144.0,10636.0,9880.0,10455.0,10455.0,2496103902
2020-09-05,10455.0,10570.0,9817.5,10161.5,10161.5,2295656172
2020-09-06,10161.5,10347.0,9993.0,10250.5,10250.5,1164344776
2020-09-07,10250.5,10413.0,9867.0,10379.5,10379.5,1690275573
2020-09-08,10379.5,10460.5,9811.0,10126.5,10126.5,2186141321
2020-09-09,10126.5,10350.0,9982.5,10222.5,10222.5,1103571425
2020-09-10,10222.5,10488.0,10219.0,10343.0,10343.0,1143320649
2020-09-11,10343.0,10430.0,10200.5,10395.5,10395.5,843676265
2020-09-12,10395.5,10477.0,10271.0,10441.0,10441.0,572741240
2020-09-13,10441.0,10583.0,10201.5,10328.0,10328.0,1033507088
2020-09-14,10328.0,10750.0,10251.0,10671.5,10671.5,1335592644
2020-09-15,10671.5,10925.0,10621.0,10776.0,10776.0,1381492211
2020-09-16,10776.0,11091.5,10659.0,10949.5,10949.5,1349236607
2020-09-17,10949.5,11045.0,10737.0,10942.0,10942.0,1090445146
